FFD Points: X, Y, Z
0, 0, 0
1e-05, -0.060001, -0.0001
0, 0, 1
1e-05, -0.060001, 0.7649275
0, 0, 2
1e-05, -0.060001, 1.529955
0, 0, 3
1e-05, -0.060001, 2.2949825
0, 0, 4
1e-05, -0.060001, 3.06001
0, 1, 0
1e-05, 0.0, -0.0001
0, 1, 1
1e-05, 0.0, 0.7649275
0, 1, 2
1e-05, 0.0, 1.529955
0, 1, 3
1e-05, 0.0, 2.2949825
0, 1, 4
1e-05, 0.0, 3.06001
0, 2, 0
1e-05, 0.060001, -0.0001
0, 2, 1
1e-05, 0.060001, 0.7649275
0, 2, 2
1e-05, 0.060001, 1.529955
0, 2, 3
1e-05, 0.060001, 2.2949825
0, 2, 4
1e-05, 0.060001, 3.06001
1, 0, 0
0.111120111111, -0.060001, -0.0001
1, 0, 1
0.111120111111, -0.060001, 0.7649275
1, 0, 2
0.111120111111, -0.060001, 1.529955
1, 0, 3
0.111120111111, -0.060001, 2.2949825
1, 0, 4
0.111120111111, -0.060001, 3.06001
1, 1, 0
0.111120111111, 0.0, -0.0001
1, 1, 1
0.111120111111, 0.0, 0.7649275
1, 1, 2
0.111120111111, 0.0, 1.529955
1, 1, 3
0.111120111111, 0.0, 2.2949825
1, 1, 4
0.111120111111, 0.0, 3.06001
1, 2, 0
0.111120111111, 0.060001, -0.0001
1, 2, 1
0.111120111111, 0.060001, 0.7649275
1, 2, 2
0.111120111111, 0.060001, 1.529955
1, 2, 3
0.111120111111, 0.060001, 2.2949825
1, 2, 4
0.111120111111, 0.060001, 3.06001
2, 0, 0
0.222230222222, -0.060001, -0.0001
2, 0, 1
0.222230222222, -0.060001, 0.7649275
2, 0, 2
0.222230222222, -0.060001, 1.529955
2, 0, 3
0.222230222222, -0.060001, 2.2949825
2, 0, 4
0.222230222222, -0.060001, 3.06001
2, 1, 0
0.222230222222, 0.0, -0.0001
2, 1, 1
0.222230222222, 0.0, 0.7649275
2, 1, 2
0.222230222222, 0.0, 1.529955
2, 1, 3
0.222230222222, 0.0, 2.2949825
2, 1, 4
0.222230222222, 0.0, 3.06001
2, 2, 0
0.222230222222, 0.060001, -0.0001
2, 2, 1
0.222230222222, 0.060001, 0.7649275
2, 2, 2
0.222230222222, 0.060001, 1.529955
2, 2, 3
0.222230222222, 0.060001, 2.2949825
2, 2, 4
0.222230222222, 0.060001, 3.06001
3, 0, 0
0.333340333333, -0.060001, -0.0001
3, 0, 1
0.333340333333, -0.060001, 0.7649275
3, 0, 2
0.333340333333, -0.060001, 1.529955
3, 0, 3
0.333340333333, -0.060001, 2.2949825
3, 0, 4
0.333340333333, -0.060001, 3.06001
3, 1, 0
0.333340333333, 0.0, -0.0001
3, 1, 1
0.333340333333, 0.0, 0.7649275
3, 1, 2
0.333340333333, 0.0, 1.529955
3, 1, 3
0.333340333333, 0.0, 2.2949825
3, 1, 4
0.333340333333, 0.0, 3.06001
3, 2, 0
0.333340333333, 0.060001, -0.0001
3, 2, 1
0.333340333333, 0.060001, 0.7649275
3, 2, 2
0.333340333333, 0.060001, 1.529955
3, 2, 3
0.333340333333, 0.060001, 2.2949825
3, 2, 4
0.333340333333, 0.060001, 3.06001
4, 0, 0
0.444450444444, -0.060001, -0.0001
4, 0, 1
0.444450444444, -0.060001, 0.7649275
4, 0, 2
0.444450444444, -0.060001, 1.529955
4, 0, 3
0.444450444444, -0.060001, 2.2949825
4, 0, 4
0.444450444444, -0.060001, 3.06001
4, 1, 0
0.444450444444, 0.0, -0.0001
4, 1, 1
0.444450444444, 0.0, 0.7649275
4, 1, 2
0.444450444444, 0.0, 1.529955
4, 1, 3
0.444450444444, 0.0, 2.2949825
4, 1, 4
0.444450444444, 0.0, 3.06001
4, 2, 0
0.444450444444, 0.060001, -0.0001
4, 2, 1
0.444450444444, 0.060001, 0.7649275
4, 2, 2
0.444450444444, 0.060001, 1.529955
4, 2, 3
0.444450444444, 0.060001, 2.2949825
4, 2, 4
0.444450444444, 0.060001, 3.06001
5, 0, 0
0.555560555556, -0.060001, -0.0001
5, 0, 1
0.555560555556, -0.060001, 0.7649275
5, 0, 2
0.555560555556, -0.060001, 1.529955
5, 0, 3
0.555560555556, -0.060001, 2.2949825
5, 0, 4
0.555560555556, -0.060001, 3.06001
5, 1, 0
0.555560555556, 0.0, -0.0001
5, 1, 1
0.555560555556, 0.0, 0.7649275
5, 1, 2
0.555560555556, 0.0, 1.529955
5, 1, 3
0.555560555556, 0.0, 2.2949825
5, 1, 4
0.555560555556, 0.0, 3.06001
5, 2, 0
0.555560555556, 0.060001, -0.0001
5, 2, 1
0.555560555556, 0.060001, 0.7649275
5, 2, 2
